date,open,close
2019-02-26,3808.62,3814.49
2019-02-27,3826.0,3813.93
2019-02-28,3833.46,3821.11
2019-03-01,3828.58,3845.01
2019-03-04,3707.58,3718.17
2019-03-05,3739.58,3855.71
2019-03-06,3862.55,3855.5
2019-03-07,3866.01,3880.01
2019-03-08,3891.39,3920.43
2019-03-11,3873.48,3855.66
2019-03-12,3885.09,3881.33
2019-03-13,3856.08,3870.12
2019-03-14,3859.57,3873.47
2019-03-15,3913.52,3932.37
2019-03-18,3971.0,3979.17
2019-03-19,3987.37,4006.62
2019-03-20,4010.91,4022.45
2019-03-21,4044.62,3979.42
2019-03-22,3987.13,3996.38
2019-03-25,3987.2,3922.22
2019-03-26,3919.35,3933.02
2019-03-27,4033.25,4020.12
2019-03-28,4016.57,4024.89
2019-03-29,4120.18,4085.0
2019-04-01,4128.68,4137.45
2019-04-02,4722.45,4729.0
2019-04-03,4920.39,5108.57
2019-04-04,4971.87,4813.73
2019-04-05,4985.46,4978.62
2019-04-08,5046.16,5155.05
2019-04-09,5152.94,5165.8
2019-04-10,5197.01,5363.83
2019-04-11,5001.01,5043.82
2019-04-12,5041.36,5031.79
2019-04-15,5103.35,5005.84
2019-04-16,5053.49,5158.14
2019-04-17,5217.56,5210.49
2019-04-18,5218.82,5264.38
2019-04-22,5275.0,5354.67
2019-04-23,5513.97,5568.08
2019-04-24,5385.63,5399.75
2019-04-25,5441.81,5468.38
2019-04-26,5333.3,5260.61
2019-04-29,5279.41,5239.89
2019-04-30,5282.32,5292.53
2019-05-01,5363.42,5367.41
2019-05-02,5444.72,5506.98
2019-05-03,5750.07,5757.84
2019-05-06,5701.67,5790.41
2019-05-07,5945.8,5922.87
2019-05-08,5936.0,5951.65
2019-05-09,6087.78,6135.25
2019-05-10,6307.22,6410.57
2019-05-13,7225.24,7844.36
2019-05-14,8057.18,7740.75
2019-05-15,7946.71,8167.0
2019-05-16,7870.0,7858.68
2019-05-17,7154.18,7136.72
2019-05-20,7832.5,7801.0
2019-05-21,7847.92,7966.45
2019-05-22,7802.95,7901.69
2019-05-23,7588.04,7759.18
2019-05-24,7978.65,8023.88
2019-05-28,8734.35,8689.64
2019-05-29,8621.0,8677.51
2019-05-30,8724.54,8620.22
2019-05-31,8284.09,8442.75
2019-06-03,8505.1,8570.88
2019-06-04,7943.56,7621.46
2019-06-05,7790.75,7783.05
2019-06-06,7831.96,7595.86
2019-06-07,7892.76,7937.85
2019-06-10,7902.67,7945.81
2019-06-11,7767.55,7868.87
2019-06-12,7967.91,8118.56
2019-06-13,8087.59,8225.41
2019-06-14,8256.59,8385.88
2019-06-17,9249.6,9278.2
2019-06-18,9174.16,9073.65
2019-06-19,9137.73,9132.33
2019-06-20,9250.08,9497.5
2019-06-21,9807.66,9890.28
2019-06-24,10937.34,10944.73
2019-06-25,11418.37,11411.95
2019-06-26,12693.77,13960.76
2019-06-27,12255.58,11022.01
2019-06-28,12178.81,12368.43
2019-07-01,11020.87,10258.02
2019-07-02,9993.96,10784.0
2019-07-03,11166.54,11257.82
2019-07-05,11177.11,11111.55
2019-07-08,11882.69,12185.57
